id,relationship_id,relationship_name,is_hierarchical,defines_ancestry,reverse_relationship_id,relationship_concept_id
67,Pathology of,Pathological process of (SNOMED),0,0,Has pathology,44818843
68,Part of,Part of (SNOMED),0,0,Has part of,44818844
69,Severity of,Severity of (SNOMED),0,0,Has severity,44818845
70,Revision status of,Revision status of (SNOMED),0,0,Has revision status,44818846
71,Access of,Access of (SNOMED),0,0,Has access,44818847
72,Occurrence of,Occurrence of (SNOMED),0,0,Has occurrence,44818848
73,Laterality of,Laterality of (SNOMED),0,0,Has laterality,44818850
74,Interprets of,Interprets of (SNOMED),0,0,Has interprets,44818851
75,Indir morph of,Indirect morphology of (SNOMED),0,0,Has indir morph,44818852
76,ATC - RxNorm,ATC to RxNorm,0,0,RxNorm - ATC,44818810
77,Is a,Is a,0,0,Subsumes,44818821
78,Indir device of,Indirect device of (SNOMED),0,0,Has indir device,44818853
79,Specimen of,Specimen of (SNOMED),0,0,Has specimen,44818854
80,Interpretation of,Interpretation of (SNOMED),0,0,Has interpretation,44818855
81,Intent of,Intent of (SNOMED),0,0,Has intent,44818856
82,Focus of,Focus of (SNOMED),0,0,Has focus,44818857
83,Manifestation of,Definitional manifestation of (SNOMED),0,0,Has manifestation,44818858
84,Active ing of,Active ingredient of (SNOMED),0,0,Has active ing,44818859
85,Finding site of,Finding site of (SNOMED),0,0,Has finding site,44818860
86,Episodicity of,Episodicity of (SNOMED),0,0,Has episodicity,44818861
87,Dir subst of,Direct substance of (SNOMED),0,0,Has dir subst,44818862
88,Dir morph of,Direct morphology of (SNOMED),0,0,Has dir morph,44818863
89,Dir device of,Direct device of (SNOMED),0,0,Has dir device,44818864
90,Causative agent of,Causative agent of (SNOMED),0,0,Has causative agent,44818866
91,Asso morph of,Associated morphology of (SNOMED),0,0,Has asso morph,44818867
92,Asso finding of,Associated finding of (SNOMED),0,0,Has asso finding,44818868
93,Measurement of,Measurement method of (SNOMED),0,0,Has measurement,44818869
94,Specimen proc of,Specimen procedure of (SNOMED),0,0,Has specimen proc,44818873
95,Specimen identity of,Specimen source identity of (SNOMED),0,0,Has specimen source,44818874
96,Specimen morph of,Specimen source morphology of (SNOMED),0,0,Has specimen morph,44818875
97,Specimen topo of,Specimen source topography of (SNOMED),0,0,Has specimen topo,44818876
98,Specimen subst of,Specimen substance of (SNOMED),0,0,Has specimen subst,44818877
99,Due to of,Due to of (SNOMED),0,0,Has due to,44818878
100,Relat context of,Subject relationship context of (SNOMED),0,0,Has relat context,44818879
101,Dose form of,Dose form of (SNOMED),0,0,Has dose form,44818880
102,Occurs before,Occurs before (SNOMED),0,0,Occurs after,44818881
103,Asso proc of,Associated procedure of (SNOMED),0,0,Has asso proc,44818882
104,Dir proc site of,Direct procedure site of (SNOMED),0,0,Has dir proc site,44818883
105,Indir proc site of,Indirect procedure site of (SNOMED),0,0,Has indir proc site,44818884
106,Proc device of,Procedure device of (SNOMED),0,0,Has proc device,44818885
107,Proc morph of,Procedure morphology of (SNOMED),0,0,Has proc morph,44818886
108,Finding context of,Finding context of (SNOMED),0,0,Has finding context,44818887
109,Proc context of,Procedure context of (SNOMED),0,0,Has proc context,44818888
110,Temporal context of,Temporal context of (SNOMED),0,0,Has temporal context,44818889
111,Finding asso with,Finding associated with (SNOMED),0,0,Asso with finding,44818890
112,Surgical appr of,Surgical approach of (SNOMED),0,0,Has surgical appr,44818891
113,Device used by,Device used by (SNOMED),0,0,Using device,44818892
114,Energy used by,Energy used by (SNOMED),0,0,Using energy,44818893
115,Subst used by,Substance used by (SNOMED),0,0,Using subst,44818894
116,Acc device used by,Access device used by (SNOMED),0,0,Using acc device,44818895
117,Clinical course of,Has clinical course of (SNOMED),0,0,Has clinical course,44818896
118,Route of admin of,Route of administration of (SNOMED),0,0,Has route of admin,44818897
119,Finding method of,Finding method of (SNOMED),0,0,Using finding method,44818898
120,Finding inform of,Finding informer of (SNOMED),0,0,Using finding inform,44818899
121,SNOMED - ICD9P eq,SNOMED to ICD-9-Procedure equivalent (OMOP),0,1,ICD9P - SNOMED eq,44818900
122,SNOMED cat - CPT4,SNOMED category to CPT-4 (OMOP),1,1,CPT4 - SNOMED cat,44818901
123,SNOMED - CPT4 eq,SNOMED to CPT-4 equivalent (OMOP),0,1,CPT4 - SNOMED eq,44818902
124,SNOMED - MedDRA eq,SNOMED to MedDRA equivalent (OMOP),0,0,MedDRA - SNOMED eq,44818903
125,Is FDA-appr ind of,Is FDA-approved indication of (FDB),1,1,Has FDA-appr ind,44818904
126,Is off-label ind of,Is off-label indication of (FDB),1,1,Has off-label ind,44818905
127,Is CI of,Is contra-indication of (FDB),0,0,Has CI,44818906
128,RxNorm - ETC,RxNorm to ETC (FDB),1,0,ETC - RxNorm,44818907
129,RxNorm - ATC,RxNorm to ATC,0,0,ATC - RxNorm,44818908
130,MedDRA - SMQ,MedDRA contained in SMQ (MedDRA),0,0,SMQ - MedDRA,44818909
131,Has inferred class,Has inferred drug class (OMOP),1,0,Inferred class of,44818919
132,SNOMED proc - HCPCS,SNOMED procedure subsumes HCPCS (OMOP),1,1,HCPCS - SNOMED proc,44818920
133,HCPCS - SNOMED proc,HCPCS is a SNOMED procedure (OMOP),1,0,SNOMED proc - HCPCS,44818921
134,RxNorm - NDFRT name,RxNorm to NDF-RT equivalent by concept_name (OMOP),0,0,NDFRT - RxNorm name,44818922
135,NDFRT - RxNorm name,NDF-RT to RxNorm equivalent by concept_name (OMOP),1,1,RxNorm - NDFRT name,44818923
136,ETC - RxNorm name,ETC to RxNorm equivalent by concept_name (OMOP),1,1,RxNorm - ETC name,44818924
137,RxNorm - ETC name,RxNorm to ETC equivalent by concept_name (OMOP),0,0,ETC - RxNorm name,44818925
138,RxNorm - ATC name,RxNorm to ATC equivalent by concept_name (OMOP),0,0,ATC - RxNorm name,44818927
139,HOI - SNOMED,HOI contains SNOMED (OMOP),1,1,SNOMED - HOI,44818928
140,SNOMED - HOI,SNOMED contained in HOI (OMOP),1,0,HOI - SNOMED,44818929
141,DOI - RxNorm,DOI contains RxNorm (OMOP),1,1,RxNorm - DOI,44818930
142,RxNorm - DOI,RxNorm contained in DOI (OMOP),1,0,DOI - RxNorm,44818931
143,HOI - MedDRA,HOI contains MedDRA (OMOP),1,0,MedDRA - HOI,44818932
144,MedDRA - HOI,MedDRA contained in HOI (OMOP),1,0,HOI - MedDRA,44818933
145,NUCC - CMS Specialty,NUCC to CMS Specialty (CMS),1,1,CMS Specialty - NUCC,44818934
146,CMS Specialty - NUCC,CMS Specialty to NUCC (CMS),1,0,NUCC - CMS Specialty,44818935
147,DRG - MS-DRG eq,DRG to MS-DRG equivalent (CMS),0,0,MS-DRG - DRG eq,44818936
148,MS-DRG - DRG eq,MS-DRG to DRG equivalent (CMS),0,0,DRG - MS-DRG eq,44818937
149,DRG - MDC cat,DRG to MDC category (CMS),1,0,MDC cat - DRG,44818938
150,Component of,Component of,0,0,Has component,44818865
151,Scale type of,Scale type of,0,0,Has scale type,44818871
152,Property of,Property of,0,0,Has property,44818870
153,ATC - RxNorm name,ATC to RxNorm equivalent by concept_name (OMOP),0,0,RxNorm - ATC name,44818926
154,MDC cat - DRG,MDC category to DRG (CMS),1,1,DRG - MDC cat,44818939
155,Visit cat - PoS,Visit category to Place of Service (OMOP),1,1,PoS - Visit cat,44818940
156,PoS - Visit cat,Place of Service to Visit category (OMOP),1,0,Visit cat - PoS,44818941
157,VAProd - NDFRT,VA Product to NDF-RT (NDF-RT),0,0,NDFRT - VAProd,44818942
158,NDFRT - VAProd,NDF-RT to VA Product (NDF-RT),0,0,VAProd - NDFRT,44818943
159,VAProd - RxNorm eq,VA Product to RxNorm equivalent (NDF-RT),0,1,RxNorm - VAProd eq,44818944
160,RxNorm - VAProd eq,RxNorm to VA Product equivalent (NDF-RT),0,0,VAProd - RxNorm eq,44818945
161,RxNorm replaced by,Concept replaced by (RxNorm),0,0,RxNorm replaces,44818946
162,RxNorm replaces,Concept replaces (RxNorm),0,0,RxNorm replaced by,44818947
163,Multilex has ing,Has ingredient (Multilex),0,0,Multilex ing of,44818950
164,Multilex ing of,Ingredient of (Multilex),0,0,Multilex has ing,44818951
165,RxNorm - Source eq,RxNorm to Drug Source equivalent (OMOP),0,0,Source - RxNorm eq,44818952
166,Source - RxNorm eq,Drug Source to RxNorm equivalent (OMOP),0,1,RxNorm - Source eq,44818953
167,Concept replaced by,Concept replaced by,0,0,Concept replaces,44818956
168,Concept replaces,Concept replaces,0,0,Concept replaced by,44818957
169,Concept same_as to,Inactive same_as active (SNOMED),0,0,Concept same_as from,44818958
170,Concept same_as from,Active same_as inactive (SNOMED),0,0,Concept same_as to,44818959
171,Concept alt_to to,Inactive alternative_to active (SNOMED),0,0,Concept alt_to from,44818960
172,Concept alt_to from,Active alternative_to inactive (SNOMED),0,0,Concept alt_to to,44818961
173,Concept poss_eq to,Inactive possibly_equivalent_to active (SNOMED),0,0,Concept poss_eq from,44818962
174,Concept poss_eq from,Active possibly_equivalent_to inactive (SNOMED),0,0,Concept poss_eq to,44818963
175,Concept was_a to,Inactive was_a active (SNOMED),0,0,Concept was_a from,44818964
176,Concept was_a from,Active was_a inactive (SNOMED),0,0,Concept was_a to,44818965
177,SNOMED meas - HCPCS,SNOMED measurement subsumes HCPCS (OMOP),1,1,HCPCS - SNOMED meas,44818966
178,HCPCS - SNOMED meas,HCPCS is a SNOMED measurement (OMOP),1,0,SNOMED meas - HCPCS,44818967
179,Domain subsumes,Domain subsumes (OMOP),1,0,Is domain,44818968
180,Is domain,Is a domain (OMOP),1,0,Domain subsumes,44818969
181,Excluded in map from,Standard to Non-standard exclude child (OMOP),0,0,Map excludes child,44818970
182,ICD9P replaced by,Concept replaced by (ICD-9-Procedure),0,0,ICD9P replaces,44818971
183,ICD9P replaces,Concept replaces (ICD-9-Procedure),0,0,ICD9P replaced by,44818972
184,Module of,Module of,1,1,Has Module,581405
185,Included in map from,Standard to Non-standard include child (OMOP),0,0,Map includes child,44818973
186,Map excludes child,Non-standard to Standard exclude child (OMOP),0,0,Excluded in map from,44818974
187,Map includes child,Non-standard to Standard include child (OMOP),0,0,Included in map from,44818975
188,Mapped from,Standard to Non-standard map (OMOP),0,0,Maps to,44818976
189,Maps to,Non-standard to Standard map (OMOP),0,0,Mapped from,44818977
190,UCUM replaced by,Concept replaced by (UCUM),0,0,UCUM replaces,44818978
191,UCUM replaces,Concept replaces (UCUM),0,0,UCUM replaced by,44818979
192,Maps to type,Non-standard to type concept map (OMOP),0,0,Type mapped from,44819237
193,Maps to unit,Non-standard to unit concept map (OMOP),0,0,Unit mapped from,44819238
194,Maps to value,Non-standard to value_as_concept map (OMOP),0,0,Value mapped from,44819239
195,Type mapped from,Type concept to non-standard map (OMOP),0,0,Maps to type,44819240
196,Unit mapped from,Unit concept to non-standard map (OMOP),0,0,Maps to unit,44819241
197,Value mapped from,Value_as_concept to non-standard map (OMOP),0,0,Maps to value,44819242
198,ICD9CM - MedDRA,ICD-9-CM to MedDRA (MSSO),0,0,MedDRA - ICD9CM,44819286
199,MedDRA - ICD9CM,MedDRA to ICD-9-CM (MSSO),0,0,ICD9CM - MedDRA,44819287
200,ICD9CM - FDB Ind,ICD-9-CM to FDB Indication/Contraindication (FDB),0,0,FDB Ind - ICD9CM,44819288
201,FDB Ind - ICD9CM,FDB Indication/Contraindication to ICD-9-CM (FDB),0,0,ICD9CM - FDB Ind,44819289
202,Has extent,Has Extent (SNOMED),0,0,Extent of,45754816
203,Extent of,Extent of (SNOMED),0,0,Has extent,45754817
204,Has approach,Has Approach (SNOMED),0,0,Approach of,45754820
205,Ind/CI - SNOMED,Indication/Contra-indication to SNOMED,0,0,SNOMED - ind/CI,44818910
206,SNOMED - ind/CI,SNOMED to Indication/Contra-indication,0,0,Ind/CI - SNOMED,44818911
207,Has therap class,Has therapeutic class (NDF),0,0,Therap class of,44818912
208,Therap class of,Therapeutic class of (NDF),1,1,Has therap class,44818913
209,Drug-drug inter for,Drug-drug interaction for (NDF),0,0,Has drug-drug inter,44818914
210,Has drug-drug inter,Is involved in drug-drug interaction (NDF),0,0,Drug-drug inter for,44818915
211,Has pharma prep,Has pharmaceutical preparation (NDF),0,0,Pharma prep in,44818916
212,Pharma prep in,Pharmaceutical preparation contained in (NDF),1,1,Has pharma prep,44818917
213,Inferred class of,Inferred drug class of (OMOP),1,1,Has inferred class,44818918
214,Approach of,Approach of (SNOMED),0,0,Has approach,45754821
215,Has quantified form,Has quantified form (RxNorm),0,1,Quantified form of,45754827
216,Has disp dose form,Has dispensed dose form (SNOMED),0,0,Disp dose form of,45905736
217,Disp dose form of,Dispensed dose form of (SNOMED),0,0,Has disp dose form,45905748
218,Has spec active ing,Has specific active ingredient (SNOMED),0,0,Spec active ing of,45905737
219,Spec active ing of,Specific active ingredient of (SNOMED),0,0,Has spec active ing,45905749
220,Has basis str subst,Has basis of strength substance (SNOMED),0,0,Basis str subst of,45905738
221,Basis str subst of,Basis of strength substance of (SNOMED),0,0,Has basis str subst,45905750
222,Has VMP,Has Virtual Medicinal Product (SNOMED),0,0,VMP of,45905739
223,VMP of,Virtual Medicinal Product of (SNOMED),0,0,Has VMP,45905751
224,Has incipient,Has incipient (DM+D),0,0,Incipient of,45905740
225,Has Answer,Has Answer,0,0,Answer of,45754683
226,Answer of,Answer of,0,0,Has Answer,45754684
227,Incipient of,Incipient of (DM+D),0,0,Has incipient,45905752
228,Has licensed route,Has licensed route (DM+D),0,0,Licensed route of,45905741
229,Licensed route of,Licensed route of (DM+D),0,0,Has licensed route,45905753
230,Has dose form unit,Has unit relating to the size (DM+D),0,0,Dose form unit of,45905742
231,Dose form unit of,Unit relating to the size of (DM+D),0,0,Has dose form unit,45905754
232,Has unit of prod use,Has unit relating to the entity that can be handled (DM+D),0,0,Unit of prod use of,45905743
233,Unit of prod use of,Unit relating to the entity that can be handled of (DM+D),0,0,Has unit of prod use,45905755
234,Has route,Has route (DM+D),0,0,Route of,45905744
235,Route of,Route of (DM+D),0,0,Has route,45905756
236,Has AMP,Has Actual Medicinal Product (SNOMED),0,0,AMP of,45905745
237,AMP of,Actual Medicinal Product of (SNOMED),0,0,Has AMP,45905757
238,Is pack of,Is pack of (SNOMED),0,0,Has pack,45905746
239,Has pack,Has pack (SNOMED),0,0,Is pack of,45905758
240,Has trade family grp,Has trade family group (SNOMED),0,0,Trade family grp of,45905747
241,Trade family grp of,Trade family group of (SNOMED),0,0,Has trade family grp,45905759
242,Has excipient,Has excipient (SNOMED),0,0,Excipient of,45905791
243,Excipient of,Excipient of (SNOMED),0,0,Has excipient,45905790
244,Follows,Follows (SNOMED),0,0,Followed by,45905792
245,Followed by,Followed by (SNOMED),0,0,Follows,45905793
246,Has non-avail ind,Has VMP non-availability indicator (SNOMED),0,0,Non-avail ind of,45905794
247,Non-avail ind of,VMP non-availability indicator of (SNOMED),0,0,Has non-avail ind,45905795
248,Has ARP,Has ARP (SNOMED),0,0,ARP of,45905796
249,ARP of,ARP of (SNOMED),0,0,Has ARP,45905797
250,Has VRP,Has VRP (SNOMED),0,0,VRP of,45905798
251,VRP of,VRP of (SNOMED),0,0,Has VRP,45905799
252,Has flavor,Has flavor (SNOMED),0,0,Flavor of,45905802
253,Flavor of,Flavor of (SNOMED),0,0,Has flavor,45905803
254,Has disc indicator,Has discontinued indicator (SNOMED),0,0,Disc indicator of,45905804
255,Disc indicator of,Discontinued indicator of (SNOMED),0,0,Has disc indicator,45905805
256,VRP has prescr stat,VRP has prescribing status (SNOMED),0,0,VRP prescr stat of,45905806
257,VRP prescr stat of,VRP prescribing status of (SNOMED),0,0,VRP has prescr stat,45905807
258,Has legal category,Has legal category (SNOMED),0,0,Legal category of,45905812
259,Legal category of,Legal category of (SNOMED),0,0,Has legal category,45905813
260,LOINC - SNOMED eq,LOINC Hierarchy to SNOMED equivalent (LOINC),0,0,SNOMED - LOINC eq,45956695
261,SNOMED - LOINC eq,SNOMED to LOINC Hierarchy equivalent (LOINC),0,0,LOINC - SNOMED eq,45956696
262,LOINC - CPT4 eq,LOINC to CPT4 equivalent (SNOMED),0,0,CPT4 - LOINC eq,45956697
263,CPT4 - LOINC eq,CPT4 to LOINC equivalent (SNOMED),0,0,LOINC - CPT4 eq,45956698
264,OPCS4 - SNOMED,OPCS4 to SNOMED equivalent or categorical (NHS),1,0,SNOMED - OPCS4,45956699
265,SNOMED - OPCS4,SNOMED to OPCS4 equivalent or categorical (NHS),1,1,OPCS4 - SNOMED,45956700
266,Has brand name,Has brand name (OMOP),1,0,Brand name of,221
267,Brand name of,Brand name of (OMOP),1,0,Has brand name,222
268,Available as box,Is available in a prepackaged box (OMOP),1,1,Box of,223
269,Box of,Prepackaged box of (OMOP),1,0,Available as box,224
270,Is standard ing of,Is standard ingredient of ingredient (OMOP),1,1,Has standard ing,225
271,Has standard ing,Has standard ingredient (OMOP),0,0,Is standard ing of,226
272,Is standard brand of,Is standard Brand Name of (OMOP),0,0,Has standard brand,227
273,Has standard brand,Has standard Brand Name (OMOP),0,0,Is standard brand of,228
274,Is standard form of,Is standard Dose Form of (OMOP),0,0,Has standard form,229
275,Has standard form,Has standard Dose Form (OMOP),0,0,Is standard form of,230
276,Drug has drug class,Drug has drug class (OMOP),1,0,Drug class of drug,234
277,Has marketed form,Has marketed form (OMOP),1,1,Marketed form of,246
278,Marketed form of,Marketed form of (OMOP),1,0,Has marketed form,247
279,Has supplier,Has supplier or manufacturer (OMOP),0,0,Supplier of,248
280,Supplier of,Supplier or manufacturer of (OMOP),0,0,Has supplier,249
281,Dose form group of,Dose form group of (RxNorm),1,1,Has dose form group,5026
282,Has dose form group,Has dose form group (RxNorm),1,0,Dose form group of,5027
283,Has precondition,Has precondition (SNOMED),0,0,Precondition of,5065
284,Precondition of,Precondition of (SNOMED),0,0,Has precondition,5066
285,Has inherent loc,Has inherent location (SNOMED),0,0,Inherent location of,5067
286,Inherent location of,Inherent location of (SNOMED),0,0,Has inherent loc,5068
287,Has technique,Has technique (SNOMED),0,0,Technique of,5069
288,Technique of,Technique of (SNOMED),0,0,Has technique,5070
289,Has relative part,Has relative part (SNOMED),0,0,Relative part of,5071
290,Relative part of,Relative part of (SNOMED),0,0,Has relative part,5072
291,Has process output,Has process output (SNOMED),0,0,Process output of,5073
292,Process output of,Process output of (SNOMED),0,0,Has process output,5074
293,Inheres in,Inheres in (SNOMED),0,0,Has inherent,5077
294,Has inherent,Has inherent (SNOMED),0,0,Inheres in,5078
295,Has direct site,Has direct site (SNOMED),0,0,Direct site of,5079
296,Direct site of,Direct site of (SNOMED),0,0,Has direct site,5080
297,Characterizes,Characterizes (SNOMED),0,0,Is characterized by,5081
298,VMP prescr stat of,VMP prescribing status of (SNOMED),0,0,VMP has prescr stat,45905811
299,Has property type,Has property type,0,0,Property type of,5075
300,Property type of,Property type of,0,0,Has property type,5076
301,Drug class of drug,Drug class of drug (OMOP),1,0,Drug has drug class,233
302,Panel contains,Panel contains,1,1,Contained in panel,46233678
303,Contained in panel,Contained in panel,1,0,Panel contains,46233679
304,Is characterized by,Is characterized by (SNOMED),0,0,Characterizes,5082
305,RxNorm - CVX,RxNorm - CVX (OMOP),1,0,CVX - RxNorm,581402
306,CVX - RxNorm,CVX - RxNorm (OMOP),1,1,RxNorm - CVX,581403
307,Has Module,Has Module,0,0,Module of,581406
308,Denominator unit of,Presentation strength denominator unit of (SNOMED),0,0,Has denominator unit,581417
309,Has denomin value,Has presentation strength denominator value (SNOMED),0,0,Denom value of,581418
310,Topic of,Topic of,1,1,Has Topic,581414
311,Has Topic,Has Topic,0,0,Topic of,581415
312,Has denominator unit,Has presentation strength denominator unit (SNOMED),0,0,Denominator unit of,581416
313,Denom value of,Presentation strength denominator value of (SNOMED),0,0,Has denomin value,581419
314,Has numerator unit,Has presentation strength numerator unit (SNOMED),0,0,Numerator unit of,581420
315,Numerator unit of,Presentation strength numerator unit of (SNOMED),0,0,Has numerator unit,581421
316,Has numerator value,Has presentation strength numerator value (SNOMED),0,0,Numerator value of,581422
317,Numerator value of,Presentation strength numerator value of (SNOMED),0,0,Has numerator value,581423
318,During,During (SNOMED),0,0,Has complication,581424
319,Has complication,Has complication (SNOMED),0,0,During,581425
320,Has Histology ICDO,Has Histology ICDO,0,0,Histology of ICDO,581427
321,Histology of ICDO,Histology of ICDO,0,0,Has Histology ICDO,581428
322,Has Topography ICDO,Has Topography ICDO,0,0,Topography of ICDO,581429
323,Topography of ICDO,Topography of ICDO,0,0,Has Topography ICDO,581430
324,ICDO - SNOMED,ICDO - SNOMED,0,0,SNOMED - ICDO,581431
325,SNOMED - ICDO,SNOMED - ICDO,0,0,ICDO - SNOMED,581432
326,Has basic dose form,Has basic dose form (SNOMED),0,0,Basic dose form of,581459
327,Basic dose form of,Basic dose form of (SNOMED),0,0,Has basic dose form,581460
328,Has disposition,Has disposition (SNOMED),0,0,Disposition of,581461
329,Disposition of,Disposition of (SNOMED),0,0,Has disposition,581462
330,Has admin method,Has dose form administration method (SNOMED),0,0,Admin method of,581463
331,Admin method of,Dose form administration method of (SNOMED),0,0,Has admin method,581464
332,Has intended site,Has dose form intended site (SNOMED),0,0,Intended site of,581465
333,Intended site of,Dose form intended site of (SNOMED),0,0,Has intended site,581466
334,Has release charact,Has dose form release characteristic (SNOMED),0,0,Release charact of,581467
335,Release charact of,Dose form release characteristic of (SNOMED),0,0,Has release charact,581468
336,Has transformation,Has dose form transformation (SNOMED),0,0,Transformation of,581469
337,Transformation of,Dose form transformation of (SNOMED),0,0,Has transformation,581470
338,Has state of matter,Has state of matter (SNOMED),0,0,State of matter of,581471
339,State of matter of,State of matter of (SNOMED),0,0,Has state of matter,581472
340,Temp related to,Temporally related to (SNOMED),0,0,Has temp finding,581473
341,Has temp finding,Has temporal finding (SNOMED),0,0,Temp related to,581474
342,Typ bill - Freq Code,Typ bill Full to Frequency code (UB04),0,0,Freq Code - Typ bill,32403
343,Freq Code - Typ bill,Frequency code to Typ bill Full (UB04),0,0,Typ bill - Freq Code,32404
344,Typ bill - Typ bill3,Typ bill Full to Typ bill 3 digits (UB04),0,0,Typ bill3 - Typ bill,32405
345,Typ bill3 - Typ bill,Typ bill 3 digits to Typ bill Full (UB04),0,0,Typ bill - Typ bill3,32406
346,Has morphology,Has Morphology (SNOMED),0,0,Morphology of,45754806
347,Morphology of,Morphology of (SNOMED),0,0,Has morphology,45754807
348,Has meas component,Has Measured Component (SNOMED),0,0,Meas component of,45754808
